sku,title,author,brand,price
CV439,Birth,Delphine Chapuis Schmitz,,20
CV440,Alternative Pedagogical Spaces ,,,15
CV441,Curating Ecologies on Architecture  ,,,20
CV442,Exosphere             ,,,32
CV443,Life Story          ,Mckenzie Wark - ,,16
CV444,On my Painting ,Beckmann: ,,16
CV445,"On Design, Feminism",,,20
CV446,ALGOFFSHORE,,,26
CV447,Eva Hesse - Transatlantique   ,,,24
CV448,Tender and Toxic Tales,,,18
CV449,All Of This Unreal,,,15
CV450,Who can Afford to be Critical?,,,18
CV451,La montagna magica,,,34
CV452,Meandering,,,25
CV453,Visual Cultures as World Forming,,,15
CV454,"Feminism, Pedagogy and the Studio ",,,15
CV455,"Worlding Ecologies – Art, Science",,,32
CV456,The Beauty of Light,,,25
CV457,Zeitbewusstheit,,,24
CV458,Mauled To Death,,,24
CV459,Rough Version: The NTS Interviews,,,38
CV460,Dreamtime X,,,32
CV461,Speaking and Listening,,,28
CV462,Innere Stimme,,,32
CV463,Planetary Realism Art Against Apoca,,Sternberg Press,25
CV464,Grocery List,,,16
CV465,Fan Mail,,,16
CV466,Insistence as Art,,,16
CV467,The Kuruntokai and its Mirror,,,16
CV468,Mothering Myths - An ABC of Art,,,36
CV469,The Joy of Cacophony,Brandon Labelle,,15
CV470,Export Quality Poetry,Denise Bertschi,,25
CV471,On Making Less,,,15
CV472,Do You Speak Flower?,,,20
CV473,They Inhabit While Working,,,20
CV474,A Hypothesis of Resistance,,,24
CV475,Resounding Roar,,,15
CV476,Forest Times ,,,36
CV477,The Glossary,,,16
CV478,Cookbook of Possibilities ,,,16
CV479,All The Things ,,,15
CV480,All Us Girls Have Been Dead for,,,15
CV481,Virus,,,15
CV482,Freinet Techniques,,Rollo Press,36
CV483,Der Titel,Alex Sadkowsky,,24
CV484,Crickets,Mungo Mungo Thomson,,28
CV485,B for the birds,,,28
CV486,The Contemporary Condition,,,12
CV487,Méditations d'un Escargot,,,8
CV488,Complexes de mère et la naissance d'une image,,,8
CV489,De la musique dans leurs yeux,,,8
CV490,zweikommasieben #28,,,18
CV491,zweikommasieben #29,,,14
CV492,Women Looking at Women Looking at,,,24
CV493,Enfleshed - Ecologies of Entities,,,24
CV494,Postnational Art Histories: what is postnational art history?,,,30
CV495,Being Together: A Manual for Livin,,,20
CV497,shelf documents,,,28
CV498,Ecodeviance,,,24
CV499,Artpop_insta,,,12
CV500,All The Stories - Dora Garcia ,,,30
CV501,Premiers Plans - Documentation Céline Duval,,,20
CV502,MMMM - Jean-Philippe Toussaint,,,30
CV503,Technologies of Romance Part II - Paul O’Kane ,,,24
CV504,What’s Love Got to Do With It? E-flux journal,,,28
CV505,Ambient Park - Félicia Atkinson,,,20
CV506,Mushrooms & Friends 3,,,28
CV507,Mushroom Fever,,,16
CV508,Mushroom Postcard,,,2
CV509,Non-Human Farmers Sticker,,,6
CV510,Mobile Soils – Teti Press,,,24
CV511,TRANSBORDEMENTS – Teti Press,,,20
CV512,"HOOT (diverse Ausg., 3/4/5/6/7/8/9)",,,15
CV513,HOOT Special hors-serie,,,24
CV514,Les Rois du monde,,,24
CV515,Solution 305 Dying Livingly,,,20
CV516,Dedicated to the Soul – Emma Jung,Emma Jung,,65
CV517,Period Drama,Rebecca Ackroyd,,60
CV518,Du fric ou on vous tue !,Alèssi Dell’Umbria,Les Éditions des mondes à faire,20
CV519,Vivre avec le trouble,"Donna J. Haraway

",Les Éditions des mondes à faire,32
CV520,Entre un néant et un autre,Ratcharge,Les Éditions des mondes à faire,16
CV521,Pleasure,Samuel Brzeski,,20
CV522,Against Ageism,Simon(e) van Saarloos,SPBH,16
CV523,"Irrational: A Visual Directory to a World with No Reason
",Francesco Jodice & Francesco Zanot,SPBH,20
CV524,Veya tutkal,Zeynep Yilmaz,,16
CV525,La bibliothèque à déplacer,,TETI,20
CV526,TETI journal on Transindustriality,,TETI,35
CV527,The Gender of Sound,,Silver Press,15
CV528,Timefulness,,,32
CV529,I'm handy — Catherine Walsh,,,34
CV530,Les dones al carrer — Pénélope Delaur,,,40
CV531,A poc a poc — Mora Ojea,,,22
CV532,"Oberdada. Schriften, Manifeste, Flugblätter, Billets, Werke und Taten
Johannes Baader",,,20
CV533,Dada au Japon,,,40
CV534,en avant dada – huelsenbeck ,,,15
CV535,Genesis Dada. 100 Years of Dada Zurich,,,40
CV536,Chutney Magazine,,,30
CV537,WORMS (div. Ausg. 6/7/8/9),,,24
CV539,Being Together: A Manual for Living,,,24
CV540,Postnational Art Histories: Rebordering the Archipelago: Asia-Pacific ,,,30
CV541,Practicing Solidarity ,,,22
CV542,Graphic Languages,,,34
CV543,The Man Who ,,,20
CV544,Provoking Freeport Magic: Art Assemblage in Late Capitalism,,,20
CV545,We Who Have Changed ,,,20
CV546,Russian Colonialism 101,,,22
CV547,Hives – Aladin Borioli,,,24
CV548,At the kitchen table ,,,15
CV549,Supporting Role – Jason Hirata,,,20
CV550,Short Circuits – Vikram Divecha,,,30
CV551,Epistemic Imaginaries - Learning as Festivity ,,,24
CV552,Abécédaire of Fringes ,,,16
CV553,Intentness and Songs – Samson Young ,,,28
CV554,Blank Forms n° 10 - Eliane Radigue - Alien Roots ,,,30
CV555,The Significance and Relevanc,,,32
CV556,Melancholia in the Age of Mechanization ,,,32
CV557,Urban Kitsch ,,,30
CV558,"Pompei, Pompeii",Bianca Pedrina,Mark Pezinger,22
CV559,Grapefruit – Yoko Ono,,,24
CV560,By the Highway Serpas S,,,26
CV561,The 1Shanthiroad Cookbook,,,30
CV562,The World Is On Fire But We're Still Buying Shoes,,,18
CV563,A Book for Disappearance,,Cthulhu Books,26
CV564,Compost Reader,,Cthulhu Books,20
CV565,Compost Reader 2,,Cthulhu Books,24
CV566,Making Kin,,Cthulhu Books,20
CV567,Notes On Evil,,Floating Opera Press,22
CV568,Against Morality,,Floating Opera Press,22
CV569,Information Cuts,,,5
CV570,Quels problèmes les artistes éditrices peuvent-iels résoudre?,,Editions Burn–Août,12
CV571,Reading My Panties Issue 01 a Collective Manifesto,Lu Lin,,18
CV572,How should one Read A Book?,VIRGINIA WOOLF,,12
CV573,Minority Rule,Ash Sarkar,,24
CV574,Railway Flora,,,24
CV575,Tumbling Ruins,Henrike Naumann,Distanz,24
CV576,Aalmanach,Rada Leu,Amsel Verlag,15
CV577,James Hoff,James Hoff Marian Kaiser,NERO,10
