sku,title,author,brand,price
CV093,NARRATIVE OF THE LIFE OF FREDERICK DOUGLASS,FREDERICK DOUGLASS,Domain,18
CV094,On Letters,PREM KRISHNAMURTHY,Domain,34
CV095,"Aria Dean, Bad Infinity: Selected",,Sternberg Press,24
CV096,Encounters – Embodied Practices,,Archive Books,22
CV097,Inhabiting the Negative Space,,Sternberg Press,18
CV098,Pidginization as Curatorial Method,Bonaventure Soh Bejeng Ndikung,Sternberg Press,16
CV099,Dada Zürich,,Reclam,10
CV100,Flowering Under Stress, Ana Prvački,Sternberg Press,28
CV101,Sensing Earth—Cultural Quests Across a Heated Globe,,Valiz,30
CV102,Solitary,,,28
CV103,Street Report 1: Public Bins,,Temporary Press,24
CV104,Street Report 2: Hooks and Holes,,Temporary Press,24
CV105,Street Report 4: Seatings,,Temporary Press,24
CV106,Tainted Love,Alex Coles,Sternberg Press,22
CV107,Unannounced Voices: Curatorial Pra,Zdenka Badovinac,Sternberg Press,16
CV108,Artists’ Survival Kit,"Andrea Bellini, Göksu Kunak, eds.",NERO Editions,26
CV109,Let’s Become Fungal! - Mycelial Learning and the Arts,,Valiz,34
CV110,ORLAN Manifesto - Bodies and Sculp,,,32
CV111,Solution 257 Complete Love,,Sternberg Press,22
CV112,Solution 275–294 Communists Anonymous,,Sternberg Press,24
CV113,Sieben Dada Manifeste,Tristran Tzara,Nautilus,20
CV114,Bôite aux lettres,Renan Garcia,Self-Published,13
CV115,Zoom Books,"Catherine Welsh, Pénélope Delaur",éditions pépé,15
CV116,50 Feminist Art Manifestos,,,28
CV117,Culture Strike Art and Museums in an age of protest,Laura Raicovich,Verso Books,24
CV118,LAST LOOSENING,Walter Serner,Twisted Spoon Press,28
CV119,i left my body behind,Martian Mächler,wasteland,26
CV120,Arts of the Working Class,Arts of the Working Class,Arts of the Working Class,5
CV121,Cyberfeminism Index,Mindy Seu,,54
CV122,Images,Niki Yelim,Lemon Press,7
CV123,Sleep Over Tonight For Us,Niki Yelim,Lemon Press,7
CV124,"Talker (Various Numbers, 1-11)",Talker,Talker,7
CV125,D.i.y. As Privilege: A Manifesto,,,13
CV126,Is Now the Time for Joyous Rage? ,"Jacqueline Francis, Jeanne Gerrity",MIT,16
CV127,Just My Luck,Hupin & Longly,The Eriksay Connection,28
CV128,MANFESTiert Euch!,,Distanz,40
CV129,Petrified Media ,Stephen Cornford,The Eriksay Connection,28
CV130,Solution 262 Lavapolis,,Sternberg Press,16
CV131,Solution 264–274 Drill Nation,,Sternberg Press,16
CV132,The Complex Answer,Chus Martínez ,,28
CV133,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,Canongate,28
CV134,UNLICENSED - Bootlegging As a Creative Practice,Ben Schwartz,Valiz,28
CV135,Archives and Crimes,Iman Mersal,Kayfa-ta,12
CV136,BIRDS/VÖGEL,Benedikt Bock,,16
CV137,How to disappear,Haytham el-Wardany ,Kayfa-ta,12
CV138,How to know what’s really happening ,Francis Mckee ,Kayfa-ta,12
CV139,How to make female action heroes,by Madhusree Dutta,Kayfa-ta,12
CV140,How to mend: Motherhood and its ghosts ,Iman Mersal,Kayfa-ta,12
CV141,How to Read Donald Duck,Dorfman & Mattelart,International general,20
CV142,How to remember your dreams,Amr Ezzat,Kayfa-ta,12
CV143,How To See Palace Pillars As If They Were Palm Trees,,Kayfa-ta,12
CV144,Making Miso,Erika Hirose,PrintRoom,18
CV145,Secondary Poems,Jo Bahdo,,10
CV146,TENSE,"Lucy Lipopard, Jerry Kearns",Kunstverein,12
CV147,"Weak Signal – New Narratives in Art and Technology
",Lukas Feireiss/Florian Hadler,Spector,22
CV148,Burn It Down! Feminist Manifestos for the Revolution,"Fahs, Breanne",Verso Books,32
CV149,Intervals,"Brooker, Marianne",Fitzcarraldo Editions,26
CV150,The Private Lives of Trees,"Zambra, AlejandroMcDowell, ",Fitzcarraldo Editions,28
CV151,An Occasion to Consider a Book,Isabell Lewis,Edition Taube,18
CV152,DADALENIN is DEAD,Rainer Ganahl,Edition Taube,8
CV153,ERASER,Angharad WILLIAMS,After 8 Books,13
CV154,Les Voies du Paradis,"CORNELL, Peter",After 8 Books,22
CV155,No. 91/92 A Diary of a Year on the Bus,Lauren Elkin,Semiotext(e),12
CV156,Single,Hai Hsin Huang ,Nos:books,16
CV157,Umsatzübersicht,Anja Dietmann,Edition Taube,22
CV158,White Objects,,,16
CV159,Divisible by Itself and One / Teilbar durch sich selbst und eins,Kai Tempest,Suhrkamp,26
CV160,Depression Cooking,,,10
CV161,Dream State Code of Conduct (lower),,,13
CV162,Few Recipes for Tired People,,,7
CV163,Gathering Flowers #1 – False Starwort,Diverse,Hwawon/Mediabus,20
CV164,Georges Bataille: A Critical Introduction,"Noys, Benjamin",Pluto Press,60
CV165,Handbook for a Past Life,,,13
CV166,Hotel Theory Reader,,New Documents,26
CV167,Jukebox Selfie 8 – PLAYING CARDS,Lee Kan Kyo,Self-Published,28
CV168,Katsura Hito,Marjolein van der Loo,Hand Saw Press,24
CV169,People Funny Boy: The Genius of Lee 'Scratch' Perry,"Katz, David",Orion Publishing Co,34
CV170,Publishing Publishing Manifestos,Michalis Pichler,Medibus,24
CV171,This Is Not What I Thought, Yuri Hasegawa,Utrecht,24
CV172,Un libro biblioteca,Alfonso Santiago,piedra ediciones,20
CV173,Anonymous Objects,Kim Beil,SPBH,18
CV174,Auras and Levitations,SUSAN HILLER,Book Works,16
CV175,Etymologischer Gossip,Uljana Wolf,,36
CV176,"Hello Chaos, a Love Story: The Disorder of Seeing and Being Seen ","Engman, Charlie",SPBH,20
CV177,Image Text Music ,"Taylor, Catherine",SPBH,20
CV178,"Immediacy, or The Style of Too Late Capitalism",Kornbluh,Verso Books,36
CV179,Instructional Photography: Learning How to live Now ,"Winant, Carmen: ",SPBH,20
CV180,La musique à venir * ,François J. Bonnet - ,Shelter Press,12
CV181,Last Pages,Rahel Zoller,Edition Taube,26
CV182,On Whiteness ,THE RACIAL IMAGINARY INSTITUTE : ,SPBH,20
CV183,Out of Office,,Nos:books,28
CV184,Pickle Book,Sisi Kim,Self-Published,16
CV185,Place Stamp Here,Jan Steinbach,Inexistent Books,5
CV186,Services Working Group,"STONE, Eric Golo (ed.)",Fillip Editions,34
CV187,The Ginny Suite,Stacy Skolnik – ,Montez,22
CV188,To Be Continued,Christian Marclay,,22
CV189,Ventoline 5/6,Magazin,,10
CV190,DTV SONDERREIHE 1966–1979,Pietro Mattioli,Kodoji Press,28
CV191,Glitch Feminism (English),Legacy Russel,Verso Books,24
CV192,Quantum Listening,Pauline Oliveros,Silver Press,15
CV193,Scrap,Calla Henkel,,32
CV194,Desired Landscapes,Diverse,Desired Landscapes,28
CV195,Enter Fatima,Charlotte York,Dent-De-Leone,16
CV196,Face the Day,Kitty Crowther,Fotokino,32
CV197,Feminine Hijinx,Dodie Bellamy,Hanuman Editions,16
CV198,Freaky Dog and Freaky Boy,Ken Kagami,New Documents,16
CV199,Garden of Ashes,Cookie Mueller,Hanuman Editions,16
CV200,Sempre Milanese,Nathalie du Pasquier,Fotokino,24
CV201,Share with me a personal memory related to stones,Félix,Lemon Press,10
CV202,Slap Me Baby,Diverse,Slap Me Baby,16
CV203,Stadterweitern,Sabine Zahn,Self-Published,13
CV204,TBD CATTIVA LUCE,TBD To Be Defined,TBD To Be Defined,20
CV205,The Economic Problem,Lourenço Soares,Lemon Press,10
CV206,The Knife,Charlotte York,Dent-De-Leone,28
CV207,To Be Determined,"Woolbridge, Duncan: ",SPBH,20
CV208,What would you say to your ex?,Paula Tudela,Self-Published,5
CV209,Sinkhole: Three Crimes,Rosanna McLaughlin – ,Montez,22
CV210,All Fours: A Novel,Miranda July,Canongate,36
CV211,Catastroph Time!,"Zhang, Gary Zhexi",Strange Attractor,34
CV212,GRR101 – Geiles Gewächs,Ingo Giezendanner,Self-Published,10
CV213,GRR12,Ingo Giezendanner,Self-Published,10
CV214,GRR45,Ingo Giezendanner,Self-Published,5
CV215,GRR51,Ingo Giezendanner,Self-Published,28
CV216,GRR77,Ingo Giezendanner,Self-Published,10
CV217,GRR81,Ingo Giezendanner,Self-Published,3
CV218,GRR87,Ingo Giezendanner,Self-Published,22
CV219,Half-Earth Socialism,"Drew Pendergrass, Troy Vettese",Verso Books,22
CV220,I See / You Mean,Lucy Lippard,New Documents,36
CV221,MONSTER,Martijn in t’Veld,Happy Potato Press,28
CV222,My Things ,Richard Mcguire,Fotokino,16
CV223,Raven,McKenzie Wark,Merve,28
CV224,The Arnold Circus Stool,Martino Gamper,Dent-De-Leone,20
CV225,The Book of Na,Na Mira,Wendy’s Subway,32
CV226,"They Call It Love
",Alva Gotby,Verso Books,22
CV227,Who are you Dorothy Dean?,Anaïs Ngbanzo (ed.),Éditions 1989,32
CV228,192 Pages notebook,,,13
CV229,Auf allen vieren,,Kiepenheuer & WItsch,40
CV230,Cooking Sections - Salmon: A Red Herring,,,24
CV231,Cruise Ship Misery,Sarah Elena Müller & Milena Krstic,Der Gesunde Menschenversand,36
CV232,Imperfect Solidarities,Aruna D'Souza,Floating Opera Press,22
CV233,Mukasonga - A Book of My Own,,,24
CV234,Rien de Personnel,Martin Bethenod,,26
CV235,The Second Sound – Conversations on Gender and Music,Julia Eckhardt et Leen De Graeve.,Q-O2,22
CV236,The Secret Public,Savage,,36
CV237,Widerständigkeit von dadaistischen Lautgedichten. Analyse des Dada-Lautgedichts „Karawane“ von Hugo Ball,Anonymous,,34
CV238,Ultra Hut,PRIMITIVE HUT,Yellow Pages,45
CV239,The Most Beautiful Swiss Books 2023,,,38
CV240,Angst,Benedikt Bock,Self-Published,24
CV241,Hold The Sound,"Jan Steinbach, Justine Stella Knuchel (eds.)",Inexistent Books,8
CV242,88 Pedazos,Federico Paladino,Self-Published,36
CV243,Abecedario de tren,Manuel Bueno Botello,PITSU-RAIN NO HON,12
